Frequency_Hz	Amplitude_mm	Phase_deg
260.	0.56165	-0.59711
288.22	1.645	-4.3567
292.73	6.3109	-69.993
292.8	6.2322	-76.494
292.8	6.2301	-76.6
292.8	6.228	-76.705
292.82	6.1827	-78.735
292.85	6.1281	-80.758
292.85	6.1251	-80.862
292.85	6.122	-80.967
292.92	5.8855	-87.347
294.48	1.0259	-93.815
296.03	3.0911	-85.125
296.11	3.1176	-91.17
296.11	3.1176	-91.268
296.11	3.1176	-91.367
296.18	3.09	-97.463
299.91	0.54974	-27.16
303.64	5.5284	-75.416
303.72	5.6496	-82.149
303.72	5.6509	-82.26
303.72	5.6522	-82.371
303.76	5.6814	-85.839
303.8	5.6888	-89.335
303.8	5.6886	-89.448
303.8	5.6885	-89.561
303.87	5.6344	-96.519
308.62	0.40357	-163.54
317.93	0.43007	-5.164
326.87	1.1709	-5.1257
330.	2.13	-12.626
