Frequency_Hz	Amplitude_MPa	Phase_deg
260.	1.1844e-002	179.45
288.22	3.0653e-002	176.12
292.73	0.10358	112.16
292.8	0.10176	105.79
292.8	0.10172	105.69
292.8	0.10168	105.59
292.82	0.10077	103.6
292.85	9.9718e-002	101.63
292.85	9.9659e-002	101.53
292.85	9.96e-002	101.43
292.92	9.5229e-002	95.22
294.48	1.7187e-002	103.39
296.03	5.1889e-002	100.29
296.11	5.1817e-002	94.271
296.11	5.1808e-002	94.173
296.11	5.18e-002	94.075
296.18	5.0827e-002	88.039
299.91	1.4244e-002	162.17
303.64	9.9624e-002	107.08
303.72	0.10124	100.37
303.72	0.10126	100.26
303.72	0.10127	100.15
303.76	0.10151	96.688
303.8	0.10136	93.203
303.8	0.10135	93.09
303.8	0.10134	92.978
303.87	9.9809e-002	86.045
308.62	2.9867e-003	44.199
317.93	1.3438e-002	176.55
326.87	2.9491e-002	175.51
330.	5.0418e-002	168.39
