	Time [s]	Minimum [mm]	Maximum [mm]	Average [mm]	
1	1.6667e-004	4.8034e-002	4.8034e-002	4.8034e-002	
2	3.3333e-004	0.14673	0.14673	0.14673	
3	5.0003e-004	0.24019	0.24019	0.24019	
4	6.6673e-004	0.33153	0.33153	0.33153	
5	8.3343e-004	0.46085	0.46085	0.46085	
6	1.0001e-003	0.60422	0.60422	0.60422	
7	1.1668e-003	0.69252	0.69252	0.69252	
8	1.3335e-003	0.71831	0.71831	0.71831	
9	1.5002e-003	0.71325	0.71325	0.71325	
10	1.6669e-003	0.67302	0.67302	0.67302	
11	1.8336e-003	0.58095	0.58095	0.58095	
12	2.0003e-003	0.45408	0.45408	0.45408	
13	2.167e-003	0.32965	0.32965	0.32965	
14	2.3337e-003	0.22584	0.22584	0.22584	
15	2.5004e-003	0.14412	0.14412	0.14412	
16	2.6671e-003	9.734e-002	9.734e-002	9.734e-002	
17	2.8338e-003	0.10233	0.10233	0.10233	
18	3.0005e-003	0.15692	0.15692	0.15692	
19	3.1672e-003	0.24181	0.24181	0.24181	
20	3.3339e-003	0.34245	0.34245	0.34245	
21	3.5006e-003	0.45233	0.45233	0.45233	
22	3.6673e-003	0.55421	0.55421	0.55421	
23	3.834e-003	0.62294	0.62294	0.62294	
24	4.0007e-003	0.64903	0.64903	0.64903	
25	4.1674e-003	0.6399	0.6399	0.6399	
26	4.3341e-003	0.59845	0.59845	0.59845	
27	4.5008e-003	0.52192	0.52192	0.52192	
28	4.6675e-003	0.42311	0.42311	0.42311	
29	4.8342e-003	0.32826	0.32826	0.32826	
30	5.0009e-003	0.2525	0.2525	0.2525	
31	5.1676e-003	0.19771	0.19771	0.19771	
32	5.3343e-003	0.17152	0.17152	0.17152	
33	5.501e-003	0.18561	0.18561	0.18561	
34	5.6677e-003	0.23553	0.23553	0.23553	
35	5.8344e-003	0.30231	0.30231	0.30231	
36	6.0011e-003	0.37321	0.37321	0.37321	
37	6.1678e-003	0.44421	0.44421	0.44421	
38	6.3345e-003	0.50509	0.50509	0.50509	
39	6.5012e-003	0.53962	0.53962	0.53962	
40	6.6679e-003	0.54127	0.54127	0.54127	
41	6.8346e-003	0.51625	0.51625	0.51625	
42	7.0013e-003	0.47148	0.47148	0.47148	
